T,RH,cluster
13.6,48.9,1
13.3,47.7,1
11.9,54.0,1
11.0,60.0,2
11.2,59.6,2
11.2,59.2,2
11.3,56.8,2
10.7,60.0,2
10.7,59.7,2
10.3,60.2,2
11.0,56.2,2
10.5,58.1,2
10.2,59.6,2
10.8,57.4,2
10.5,60.6,2
10.8,58.4,2
10.5,57.9,2
9.5,66.8,2
8.3,76.4,2
8.0,81.1,2
8.3,79.8,2
9.7,71.2,2
9.8,67.6,2
10.3,64.2,2
9.7,69.3,2
9.6,67.8,2
9.1,64.0,2
8.2,63.4,2
8.2,60.8,2
8.3,58.5,2
7.7,59.7,2
7.1,61.8,2
7.0,62.3,2
6.3,65.0,2
6.8,62.9,2
6.4,65.1,2
7.3,63.1,2
13.2,41.7,1
14.3,38.4,1
15.0,36.5,1
16.1,34.5,1
16.3,35.7,1
15.8,37.0,1
15.9,37.2,1
16.9,34.3,1
15.1,39.6,1
14.4,43.4,1
12.9,50.5,1
12.1,53.3,1
11.0,59.1,2
9.7,64.6,2
9.5,64.1,2
9.1,63.9,2
8.8,63.9,2
7.8,67.5,2
8.3,63.6,2
7.2,67.5,2
6.3,71.9,2
6.5,71.6,2
9.6,59.7,2
12.4,51.2,1
15.6,42.2,1
18.4,33.8,1
19.4,31.3,0
18.0,34.8,1
18.4,33.6,1
17.6,35.1,1
16.7,37.8,1
16.1,41.0,1
15.8,42.4,1
15.7,44.1,1
15.3,46.8,1
14.6,48.6,1
14.7,49.3,1
13.9,53.6,1
14.6,51.5,1
12.5,58.9,2
11.6,63.4,2
11.5,63.1,2
11.6,62.2,2
10.4,67.6,2
11.6,62.7,2
12.4,60.0,2
14.5,53.1,1
16.9,46.1,1
19.3,38.3,1
21.2,31.4,0
21.4,30.2,0
21.9,29.0,0
22.2,28.4,0
21.3,30.8,0
19.7,36.7,1
18.4,41.7,1
17.6,46.1,1
16.7,49.6,1
16.3,51.0,1
14.7,55.9,1
14.8,54.7,1
14.0,57.0,2
13.4,61.3,2
12.6,63.5,2
11.9,67.4,2
11.4,70.5,2
11.3,70.2,2
12.4,63.9,2
14.8,54.3,1
17.4,45.6,1
19.8,38.5,1
22.0,34.1,0
23.3,32.2,0
23.9,30.0,0
24.4,28.9,0
24.4,29.4,0
23.8,31.3,0
22.5,35.4,1
20.4,42.5,1
18.3,52.6,1
16.7,57.4,2
15.7,60.2,2
15.3,61.4,2
14.1,65.7,2
14.8,60.6,2
14.8,59.2,2
13.6,62.1,2
12.8,63.2,2
11.2,68.5,2
11.0,66.5,2
11.7,63.7,2
13.6,56.3,1
17.8,42.9,1
21.4,33.3,0
24.4,27.4,0
25.3,26.1,0
25.8,23.2,0
27.0,20.2,0
28.2,18.6,0
28.0,19.1,0
23.9,25.7,0
21.3,34.8,0
20.4,36.7,1
19.0,41.3,1
17.9,45.9,1
16.7,48.9,1
15.5,52.9,1
15.5,51.9,1
14.1,55.6,1
13.1,57.9,2
11.8,58.0,2
11.9,57.4,2
9.9,65.2,2
11.1,60.2,2
14.1,50.0,1
17.7,40.1,1
21.1,33.4,0
24.3,28.3,0
25.6,25.6,0
25.9,25.9,0
26.8,18.7,0
29.3,15.8,0
28.5,14.9,0
25.9,16.0,0
23.1,26.5,0
20.5,38.2,1
19.1,42.6,1
17.2,44.1,1
16.0,50.9,1
14.8,53.9,1
14.3,55.4,1
14.8,52.1,1
13.9,53.9,1
12.0,58.9,2
10.9,62.1,2
10.6,63.3,2
11.5,60.0,2
14.3,50.6,1
17.8,40.5,1
20.8,34.4,0
23.8,28.2,0
24.2,28.7,0
25.2,24.9,0
27.0,17.8,0
27.1,23.1,0
25.8,23.9,0
23.0,26.8,0
20.7,31.1,0
18.6,36.2,1
16.0,48.4,1
14.5,57.8,2
13.1,64.2,2
12.0,69.7,2
11.9,71.1,2
12.5,69.3,2
12.5,67.5,2
12.5,66.8,2
12.3,66.3,2
12.4,64.9,2
13.0,61.6,2
13.6,58.8,2
13.9,57.1,2
14.5,54.4,1
15.5,50.1,1
16.1,47.6,1
16.3,47.1,1
16.4,47.5,1
16.1,50.2,1
16.0,50.7,1
15.8,50.3,1
15.5,50.6,1
15.4,51.4,1
15.2,53.1,1
14.7,57.6,2
14.2,58.3,2
13.8,57.9,2
13.9,55.9,1
13.9,55.6,1
13.8,55.1,1
13.6,55.1,1
13.6,59.0,2
13.5,58.4,2
13.8,58.0,2
14.6,53.1,1
15.0,52.3,1
15.4,52.1,1
16.3,50.0,1
17.1,47.9,1
19.0,42.9,1
19.5,42.3,1
19.5,42.3,1
19.1,43.8,1
18.5,46.3,1
17.4,51.6,1
17.1,51.3,1
16.4,53.8,1
16.2,55.4,1
15.9,57.7,2
15.7,58.6,2
15.1,60.9,2
15.6,56.6,1
15.2,57.9,2
14.9,60.6,2
14.5,63.0,2
14.2,66.2,2
14.5,65.3,2
15.3,62.1,2
16.3,59.0,2
18.9,49.6,1
19.4,46.1,1
20.8,41.6,1
21.4,40.3,1
21.2,39.3,1
20.3,38.0,1
19.4,41.3,1
18.5,43.8,1
17.8,48.1,1
17.9,46.9,1
17.4,49.1,1
17.0,51.7,1
16.4,55.1,1
16.1,60.0,2
15.8,60.5,2
16.3,57.0,2
16.9,53.9,1
16.5,53.9,1
16.4,54.0,1
15.7,57.6,2
15.8,53.7,1
17.4,42.1,1
17.9,38.4,1
18.5,36.7,1
21.0,29.6,0
21.3,28.1,0
21.3,26.1,0
21.3,26.8,0
21.3,24.2,0
20.2,28.5,0
17.0,43.1,1
15.6,47.4,1
15.3,47.4,1
14.5,49.7,1
13.9,52.0,1
14.5,49.4,1
13.8,51.4,1
14.0,51.3,1
13.0,56.8,2
11.0,70.0,2
8.8,80.5,2
